original,replacement,weight
z,u,0.023255813953488372
0,e,0.109375
0,r,0.109375
0,m,0.078125
0,g,0.0625
0,:,0.03125
0,a,0.0625
0,c,0.015625
0,t,0.046875
0, ,0.140625
0,l,0.03125
0,s,0.0625
0,n,0.046875
0,u,0.015625
0,i,0.0625
0,y,0.015625
0,k,0.015625
0,o,0.015625
0,q,0.03125
b,z,0.0007757951900698216
d,z,0.000984251968503937
g,,0.001037344398340249
l,j,0.0014336917562724014
c,w,0.0014091122592766556
d,,0.001968503937007874
l,.,0.0014336917562724014
l,"
",0.0007168458781362007
b,p,0.0007757951900698216
2,=,0.00014518002322880372
t,_,0.0008250825082508251
2,,0.00014518002322880372
8,,0.0002549069589599796
c,.,0.0009394081728511038
j,f,0.0024067388688327317
j,0,0.0024067388688327317
a,1,0.000242306760358614
a,0,0.000242306760358614
j,1,0.0012033694344163659
0,b,0.015625
b,0,0.0007757951900698216
0,w,0.015625
0,d,0.015625
n,j,0.003875968992248062
k,z,0.0022026431718061676
l,,0.0007168458781362007
u,"
",0.0009871668311944718
t,z,0.0033003300330033004
